Judul,Label
implementasi artificial intelligence ai di bidang administrasi publik pada era revolusi industri 40,1
analisis ruang terbuka hijau dalam perspektif pembangunan kota berkelanjutan studi kasus kawasan pusat kota denpasar bali,0
determinan perilaku konsumsi makanan siap saji fast food pada siswa di sma negeri x jakarta timur tahun 2020,0
pengembangan sistem informasi manajemen percetakan pada gajayana digital printing kota malang berbasis website,1
pengaruh kemiskinan terhadap tingkat tindak kriminalitas di kota bandung,0
pengaruh kurs suku bunga inflasi dan harga emas dunia terhadap return saham,0
pengembangan sistem informasi sms gateway dalam meningkatkan layanan komunikasi sekitar akademika fakultas ilmu komputer unsri,1
pengaruh aktivitas organisasi terhadap prestasi belajar studi kasus pengurus bem universitas riau kabinet inspirasi periode 20162017,0
sistem klasifikasi kendaraan berbasis pengolahan citra digital dengan metode multilayer perceptron,1
deteksi kinerja prosesor komputer client dengan cara remote untuk mendukung aplikasi pemrosesan paralel,1
implementasi retrieval augmented generation untuk layanan informasi kampus dengan chatbot berbasis ai,1
opini mahasiswa terhadap citra polisi republik indonesia polri,0
implementasi forecasting pada penjualan inaura hair care dengan metode single exponential smoothing,1
sistem deteksi emosi marah pada pengemudi mobil berbasis android,1
dampak etika siber jejaring sosial pada pembentukan karakter pada generasi z,0
perilaku pengguna dan informasi hoax di media sosial,0
dampak pemberian gadget pada anak balita di desa patemon kecamatan seririt,0
klasifikasi aktivitas manusia menggunakan metode ensemble stacking berbasis smartphone,1
artificial intelligence ai dimasa depan tantangan dan peluang,1
upaya meminimasi defect produk bata ringan di pt bumi sarana beton dengan penerapan six sigma efforts to minimize defects in light brick products at pt,0
klasifikasi algoritma knn dalam menentukan penerima bantuan langsung tunai,1
model pembelajaran soft skill terintegrasi pada siswa smk program studi keahlian tata boga,0
peran guru dalam membentuk karakter peserta didik di sekolah dasar,0
metode systematic literature review untuk identifikasi platform dan metode pengembangan sistem informasi di indonesia,1
strategi pembelajaran peserta didik anak berkebutuhan khusus abk di sdn antar baru 1 marabahan,0
dinamika psikologis narapidana anak pelaku pembunuhan studi kasus di lapas anak kutoarjo,0
hukum pajak dan implementasinya bagi kesejahteraan rakyat,0
penerapan blockchain technology supply chain management accounting field,1
otonomi daerah masalah dan penyelesaiannya di indonesia,0
object detection untuk mendeteksi citra buahbuahan menggunakan metode yolo,1
adaptasi perubahan iklim komunitas desa studi kasus di kawasan pesisir utara pulau ambon,0
pengembangan media pembelajaran mobile learning berbasis android pada mata kuliah kecerdasan buatan,1
transformasi pakaian tradisional di universitas jember pengaruh budaya luar terhadap pakaian tradisional,0
deteksi aspek review ecommerce menggunakan indobert embedding dan cnn,1
pengaruh pendapatan pegadaian harga emas tingkat inflasi terhadap penyaluran pembiayaan rahn studi kasus pada pegadaian syariah bonder lombok,0
analisis dampak korban kekerasan seksual pada anak systematic literatur review,0
studi pemanfaatan ruang daerah tangkapan air danau toba serta hubungannya dengan rtrwp daerah tingkat i sumatera utara,0
pengaruh persepsi konsumen terhadap minat beli mobil listrik mercedesbenz eqs,0
motivasi kerjasama indonesiamalaysia dalam investasi penerbangan maskapai airasia,0
dampak pertambangan ilegal terhadap kerusakan lingkungan di indonesia,0
analisis faktor penyebab terjadinya hipertensi pada masyarakat studi kasus di kecamatan passi barat kabupaten bolaang mongondow,0
polarisasi politik pasca pemilihan kepala di desa ulak mengkudu sumatera selatan,0
pengembangan isi kurikulum pendidikan teknik alat berat berbasis kebutuhan industri,0
faktorfaktor yang berhubungan dengan orientasi seksual pada remaja,0
perlindungan hukum bagi kaum etnis rohingya dalam perspektif hak asasi manusia internasional,0
implementasi deep learning dalam klasifikasi citra gambar dengan menggunakan metode cnn,1
kegiatan fisik untuk mengatasi penurunan fungsi kognitif demensia dan delirium pada lansia di sekolah lansia bahtera,0
peranan semut di ekosistem transformasi hutan hujan tropis dataran rendah,0
peningkatan keterampilan menulis artikel ilmiah mahasiswa melalui pelatihan berbasis artificial intelligence,1
analisis lirik lagu jingga oleh efek rumah kaca terhadap penyelesaian tragedi 98 metode semiotika milik roland barthes lirik lagu efek rumah kaca,0
dampak paparan pornografi pada anak usia dini,0
makna komitmen bagi guru honorer sekolah dasar,0
rancang bangun sistem monitoring data sebaran covid19 secara realtime menggunakan arduino berbasis internet of things iot,1
penerapan metode itembased collaborative filtering untuk sistem rekomendasi data movielens,1
khazanah peradaban islam di bidang turats manuskrip telaah karakteristik konstruksi dan problem penelitian naskahnaskah astronomi,0
perbandingan gaya hidup mahasiswa urban dan rural terhadap hasil pembelajaran pada mahasiswa fakultas kedokteran universitas prima indonesia,0
pengaruh pola asuh orang tua terhadap kenakalan remaja siswa kelas x dan xi smkn 2 malang,0
perancangan sistem pengenalan wajah secara realtime pada cctv dengan metode eigenface,1
pengaruh otonomi daerah terhadap kesejahteraan rakyat indonesia,0
tinjauan pusataka penerapan teknologi artifical intelligence pada fitur made for you aplikasi spotify,1
penegakan hukum terhadap tindak pidana penyalahgunaan narkoba oleh anggota kepolisian resor sukoharjo,0
pengembangan sistem pengenalan wajah berbasis deep learning untuk keamanan komputer,1
penerapan particle swarm optimization pada feedforward neural network untuk klasifikasi teks hadis bukhari terjemahan bahasa indonesia,1
tanslator realtime bahasa indonesiatombulu dan tombuluindonesia menggunakan augmented reality,1
dialektika makna peristiwa dan simbolisme dalam kumpulan cerpen godlob karya danarto interpretasi hermeneutika paul ricoeur,0
coping stress pada mahasiswa generasi z yang sedang magang,0
deteksi karakter plat nomor kendaraan dengan menggunakan metode optical character recognition ocr,1
penggunaan kecerdasan buatan untuk personalisasi pengalaman belajar,1
peringkas teks otomatis berita online komisi pemilihan umum menggunakan algoritma kmeans clustering,1
efektivitas fungsi lembaga perlindungan anak indonesia lpai provinsi aceh dalam melindungi anak yang menjadi korban tindak kekerasan,0
analisis implementasi financial fair play pada klub sepak bola di eropa studi kasus pada arsenal fc fc barcelona juventus fc dan manchester united,0
penerapan metode clustering dengan algoritma kmeans pada pengelompokan indeks prestasi akademik mahasiswa,1
hubungan pengetahuan gizi dengan frekuensi konsumsi fast food pada remaja di sma negeri 5 surakarta,0
pengaruh inflasi nilai tukar rupiah dan harga emas dunia terhadap indeks harga saham pertambangan padabursa efek indonesia periode tahun 20162018,0
dampak pemindahan ikn nusantara dan tantangannya terhadap pembangunan perekonomian lokal,0
pemanfaatan twitter sebagai media penyebaran informasi oleh dinas komunikasi dan informatika,1
penerjemahan bahasa indonesia ke bahasa minang dari optical character recognition dengan menggunakan algoritme edit distance translating indonesian,1
penggunaan visi komputer untuk mengidentifiksi jenis buah dari gambar,1
pengembangan aplikasi penyampaian kearifan lokal melalui cerita rakyat bali untuk anak sekolah dasar berbasis mobile,1
analisis pemberdayaan umkm dan peningkatan daya saing dalam kancah pasar global,0
konsep pemberdayaan nelayan pesisir kota surabaya sebagai bentuk adaptasi perubahan iklim berbasis sustainable livelihood,0
analisis implementasi kecerdasan buatan artificial intelligence dalam audit laporan keuangan di era digital,1
analisis penggunaan gaya bahasa dalam menyoroti perspektif feminisme dalam novel hati suhita,0
memperkuat keamanan data melalui teknologi blockchain mengeksplorasi implementasi sukses dalam transformasi digital di indonesia,1
pengembangan sistem informasi kepegawaian pada dinas perindustrian perdagangan dan pengelolaan pasar kabupaten garut,1
pemanfaatan informasi geospasial melalui interpretasi citra digital penginderaan jauh untuk monitoring perubahan penggunaan lahan,1
dampak game edukatif pada perkembangan kognitif anak usia dini,0
aplikasi cerdas berbasis website prediksi harga emas dengan implementasi algoritma smoothing time series forecasting,1
peran dan tantangan penggunaan artificial intelligence dalam inovasi pengembangan kurikulum pembelajaran bahasa indonesia,1
pencemaran perairan akibat kadar amoniak yang tinggi dari limbah cair industri tempe,0
pembangunan sumber daya manusia masyarakat lokal terhadap daya saing aktivitas ekonomi di ibu kota baru,0
hukuman mati bagi koruptor pada saat keadaan tertentu pandemi covid19 perspektif hukum nasional dan hukum islam,0
transformasi perilaku konsumen di masa pra dan pasca pandemi covid 19 studi kasus pembelian produk shopee,0
nada polifonik teks marxist ala kuntowijoyo pencarian jati diri dari marxisme ke islam,0
penerapan teknologi blockchain pada sistem keamanan informasi,1
game edukasi bahasa indonesia menggunakan metode fisher yates shuffle pada genre puzzle game,1
pengelolaan web map services data geospasial batas administrasi desa indikatif kabupaten sintang,1
prediksi penerimaan siswa baru dengan metode single exponential smoothing melalui metrik evaluasi mad mse dan mape,1
polarisasi dan suksesi kekuasaan politik indonesia dalam wacana konsolidasi demokrasi,0
strategi public relations dalam pengembangan brand image sekolah di sekolah dasar islam terpadu sdit kota samarinda,0
pengaruh kemiskinan terhadap meningkatnya kriminalitas di kabupaten sumenep,0
penerapan metode svm dan random forest untuk mendeteksi berita hoaks pada pt global arrow,1
perlindungan hukum konsumen dalam transaksi ecommerce ditinjau dari perspektif undangundang perlindungan konsumen,0
dampak deforestasi hutan skala besar terhadap pemanasan global di indonesia,0
membangun web crawler menggunakan metode incremental serta tinjauannya menurut agama islam studi kasus situs web kesehatan indonesia,1
kecerdasan buatan dalam hal otomatisasi layanan,1
analisis variasi ekstraksi fitur dan klasifikasi dengan noise reduction untuk pengenalan navigasi suara pada smart wheelchair,1
simulasi jaringan smart home dengan sistem berbasis iot,1
implementasi kecerdasan buatan artificial intelligence dalam media pembelajaran buku bahasa ingris bersuara untuk anak usia,1
ikonikon sejarah peraturan bulu tangkis untuk infografis,0
tantangan linguistik dalam pengimplementasian big data berbahasa indonesia pada robot humanoid tinjauan dan rekomendasi,1
implementasi algoritma you only look once yolo untuk object detection sarang orang utan,1
literasi keuangan digital dalam aspek hukum bagi santri pondok pesantren as shodiqiyyah kota semarang,1
pengembangan sistem digitalisasi kelompok usaha kuliner pie susu melalui inovasi produk dan pemasaran di gianyar,1
analisis perbandingan algoritma optimasi pada random forest untuk klasifikasi data bank marketing,1
implementasi yolo v8 untuk mendeteksi mata uang rupiah emisi tahun 2022 beroutput audio,1
teknologi pendidikan kajian aplikasi ruangguru berdasarkan prinsip dan paradigma interaksi manusia dan komputer,1
klasifikasi objek dalam visi komputer dengan analisis diskriminan,1
sistem rekomendasi wisata kuliner di yogyakarta dengan metode itembased collaborative filtering,1
implementasi meditasi dzikir guna mendukung proses pemulihan pasien rehabilitasi narkoba di yayasan sinar jati lampung,0
perubahan sosial,0
pola asuh suku jawa dahulu dan sekarang serta pengaruhnya terhadap pola pikir dan perilaku anak,0
islam dan politik identitas suatu keharusan atau pencegahan,0
deteksi plat nama ruangan untuk kendali kursi roda pintar menggunakan yolov5 dan easyocr berbasis tx2,1
pelatihan pemanfaatan ai dalam meningkatkan percakapan bahasa inggris di desa belitar seberang,1
perancangan desain sistem efile surat administrasi pemerintah desa cibalongsari karawang menggunakan pendekatan design thinking,1
nasionalisme dalam bingkai kritik sosial kajian sosiopragmatik terhadap puisi indonesia modern,0
model peramalan jumlah penjualan sparepart dengan algoritma forecasting time series studi kasus di pt xyz,1
pengenalan jenis kelamin manusia berbasis suara menggunakan mfcc dan gmm,1
penerapan sertifikat pada sistem keamanan menggunakan teknologi blockchain,1
kondisi dan kritik sosial pada masa rezim orde baru dalam puisipuisi ws rendra,0
dinamika politik identitas implikasi terhadap keberlanjutan demokrasi dalam tinjauan literatur,0
pengaruh pendidikan kesehatan bahaya merokok terhadap perilaku mengurangi konsumsi rokok pada remaja studi kasus di dukuh kluweng desa kejambon,0
peramalan penjualan mobil menggunakan jaringan syaraf tiruan dan certainty factor,1
gambaran kejadian hipertensi pada lansia di desa adisara kecamatan jatilawang kabupaten banyumas tahun 2022,0
faktor sosial di balik rendahnya angka kelahiran di korea selatan,0
peningkatan produktivitas tanah melalui sistem agroforestri,0
dampak perubahan iklim terhadap perubahan musim tanam padi oryza sativa l di kabupaten malang,0
pengaruh hard skill soft skill dan efikasi diri terhadap kesiapan kerja pada mahasiswa akhir jurusan manajemen feb unsrat manado,0
implementasi ehealth sebagai alternatif antrian online di puskesmas kalirungkut kota surabaya,0
analisis faktorfaktor yang mempengaruhi tingkat pengangguran di jawa tengah tahun 1991 sampai 2011,0
optimasi deteksi objek dengan segmentasi dan data augmentasi pada hewan siput beracun menggunakan algoritma you only look once yolo,1
strategi public relations dalam membangun citra lembaga pada badan wakaf alquran,0
rancang bangun aplikasi monitoring kegiatan mbkm prestasi mahasiswa menggunakan algoritma lempel ziv welch lzw untuk kompresi citra digital,1
eksistensi masyarakat adat dit engah globalisasi,0
eksplorasi penggunaan ai generatif untuk menciptakan materi pembelajaran bahasa indonesia yang menarik dan efektif,1
gerakan sarekat islam 19121921,0
perancangan sistem informasi pos point of sales berbasis web dengan menggunakan framework codeigniter pada pasar swalayan,1
reboisasi dalam kajian hadis,0
dampak pertambangan emas bagi kehidupan ekonomi masyarakat bolaang mongondow timur di kotabunan kecamatan kotabunan kabupaten bolaang,0
kontemplasi musik tradisi di ikn kalimantan timur dalam kontinuitas dan perubahan,0
sistem penggajian guru dan tenaga kependidikan di tkaisyiyah bustanul athfal i kota probolinggo menurut prinsipprinsip akad ijarah,0
optimalisasi penjadwalan pemadaman hotspot kebakaran hutan dan lahan menggunakan algoritma genetik,1
bahaya sinar biru smartphone pada mata dan otak anak tinjauan literatur,0
pengembangan media pembelajaran bahasa indonesia berbasis teknologi augmented reality,1
perancangan sistem informasi pengelolaan data pedagang menggunakan metode prototype pada pasar wage,1
analisis pembinaan atlet renang pada pengurus propinsi dan pengurus cabang persatuan renang seluruh indonesia prsi seaceh tahun 2013,0
peran orang tua dalam mencegah anak kecanduan bermain game online di era digital,0
upaya mengurangi timbulan sampah plastik di lingkungan,0
pengaruh permainan edukasi puzzlo puzzle terhadap peningkatan kemampuan motorik halus dan kognitif anak usia 45 tahun,0
analisis sentimen ulasan pengguna ecommerce di google play store menggunakan metode indobert,1
pengembangan sistem pembelajaran dalam jaringan pada materi teori graph,1
keunggulan dan tantangan dalam penggunaan computer vision untuk diagnosis pneumonia pediatri a systematic review,1
kuliah kerja nyata pengabdian kepada masyarakat melalui kegiatan pendampingan pendidikan,0
a implementasi proteksi jquery ajax dengan proteksi sesion pada pengembangan sistem informasi manajemen kuliah kerjanyata di,1
pengembangan sistem monitoring pencemaran udara berbasis protokol zigbee dengan sensor co,1
peran orang tua dalam mendukung prestasi olahraga renang di club sgo kota cimahi,0
analisis sentimen masyarakat terhadap paylater menggunakan metode naive bayes classifier,1
analisis performa federated learning untuk klasifikasi gambar yang sensitif terhadap privasi data,1
studi kondisi fisik atlet kejurprov persatuan panahan indonesia perpani kabupaten inhil riau tahun 2018,0
pelatihan mindfulness teaching untuk meningkatkan kesejahteraan subjektif guru sekolah inklusi,0
kajian yuridis carbon trade dalam penyelesaian efek rumah kaca,0
kejahatan dunia maya dan ujaran kebencian hate speech ditinjau dari kitab uu hukum pidana dan uu no 19 tahun 2016 tentang informasi transaksi dan,0
tindakan kekerasan pada anak dalam keluarga,0
konotasi dalam bahasa komentator sepakbola valentino simanjuntak pada ajang aff u19,0
adaptasi sosial di masyarakat pesisir karangantu terhadap perubahan lingkungan dan sosial,0
deep learning object detection pada video menggunakan tensorflow dan convolutional neural network,1
hubungan teman sebaya dengan kebiasaan konsumsi makanan cepat saji fast food pada siswasiswi kelas xi di sma negeri samarinda,0
evaluasi kepuasan pengguna portal berita menggunakan usability metric array,1
penanganan sampah plastik pada produksi paving block,0
analisis kepuasan mahasiswa terhadap kualitas pelayanan akademik di sekolah tinggi manajemen informatika komputer indonesia,1
perancangan sistem monitoring keberadaan objek menggunakan gps tracker dengan interface berbasis aplikasi telepon pintar,1
pengembangan sistem pembelajaran online berbasis moodle di jurusan kurikulum dan teknologi pendidikan universitas negeri semarang,1
manajemen krisis dalam meningkatkan keunggulan bersaing restoran fast food pt pizza hut delivery sultan hasanuddin gowa selama pandemi covid19,0
disiplin beribadah alat penenang ketika dukungan sosial tidak membantu stres akademik,0
paradigma sehat sebagai optimalisasi pencegahan kecelakaan dan penyakit akibat hubungan kerja,0
prototipe sistem keamanan rumah menggunakan kombinasi sensor dan sms gateway,1
register sepak bola acara lensa olahraga di antv,0
peluang dan tantangan pemanfaatan teknologi big data untuk mengintegrasikan pelayanan publik pemerintah,1
penyuluhan anemia gizi besi menggunakan media booklet untuk meningkatkan pengetahuan dan sikap siswi sman 7 malang,0
analisis persamaan hak kewarganegaraan bagi pemain naturalisasi sepakbola di indonesia,0
penerapan hukuman mati bagi pelaku kejahatan korupsi di indonesia analisis pendekatan teori maq shid alsyar ah,0
analisis kesenjangan sosial di sd n 06 kayu agung,0
analisis prediktif dan preprocessing untuk kualitas buah apel pendekatan machine learning,1
pengaruh penambahan zeolit terhadap penurunan amoniak dalam limbah cair industri karet,0
implementasi web crawler untuk mencari harga barang termurah dari berbagai situs ecommerce indonesia,1
pengembangan sistem digital signage berbasis location based advertising untuk angkutan umum,1
pengantar nlp dan topik model lda,1
prototype pengembangan sistem keamanan rumah menggunakan teknologi internet of things,1
pengaruh metode ekspresi bebas dengan teknik kolase terhadap hasil belajar seni rupa dua dimensi siswa kelas iv,0
analisis yuridis kebijakan privasi dan pertanggungjawaban online marketplace dalam perlindungan data pribadi pengguna pada kasus kebocoran data,0
analisis faktor yang menyebabkan stres kerja karyawan generasi z studi kasus pada kpp pratama batam selatan studi mixed,0
implementasi kurikulum merdeka di sekolah dasar,0
dinamika penduduk asia timur studi kasus resesi seks di jepang,0
pengaruh literasi keuangan digital payment dan kemampuan menyusun laporan keuangan terhadap kinerja umkm,1
upaya dinas tenaga kerja dan transmigrasi dalam mengatasi pengangguran di kabupaten kutai timur,0
membandingkan mobil listrik dengan mobil konvensional,0
